League Name,Season ID,Season Year
Sweden Superettan,108,2017
Sweden Superettan,109,2016
Sweden Superettan,110,2015
Sweden Superettan,111,2014
Sweden Superettan,995,2018
Sweden Superettan,1849,2019
Sweden Superettan,3704,2020
Sweden Superettan,5502,2021
Sweden Superettan,7065,2022
Sweden Superettan,8738,2023
Sweden Superettan,10987,2024
Sweden Superettan,13975,2025
Argentina Primera División,114,20162017
Argentina Primera División,115,2016
Argentina Primera División,116,2015
Argentina Primera División,196,20172018
Argentina Primera División,1712,20182019
Argentina Primera División,2366,20192020
Argentina Primera División,5220,20202021
Argentina Primera División,5586,2021
Argentina Primera División,7892,2022
Argentina Primera División,8595,2023
Argentina Primera División,11212,2024
Argentina Prim B Nacional,117,20162017
Argentina Prim B Nacional,118,2016
Argentina Prim B Nacional,197,20172018
Argentina Prim B Nacional,1745,20182019
Argentina Prim B Nacional,3496,20192020
Argentina Prim B Nacional,5272,20202021
Argentina Prim B Nacional,5703,2021
Argentina Prim B Nacional,7032,2022
Argentina Prim B Nacional,8836,2023
Argentina Prim B Nacional,11047,2024
Argentina Prim B Nacional,14008,2025
Argentina Prim B Metro,119,2016
Argentina Prim B Metro,198,20172018
Argentina Prim B Metro,1479,20162017
Argentina Prim B Metro,1744,20182019
Argentina Prim B Metro,2450,20192020
Argentina Prim B Metro,5584,2021
Argentina Prim B Metro,8491,2022
Argentina Prim B Metro,8843,2023
Argentina Prim B Metro,11046,2024
Poland 1. Liga,120,20162017
Poland 1. Liga,121,20132014
Poland 1. Liga,199,20172018
Poland 1. Liga,220,20152016
Poland 1. Liga,221,20142015
Poland 1. Liga,1590,20182019
Poland 1. Liga,2264,20192020
Poland 1. Liga,3976,20112012
Poland 1. Liga,3977,20102011
Poland 1. Liga,3978,20122013
Poland 1. Liga,3979,20092010
Poland 1. Liga,4763,20202021
Poland 1. Liga,6110,20212022
Poland 1. Liga,7472,20222023
Poland 1. Liga,9596,20232024
Poland 1. Liga,12156,20242025
Poland 2. Liga,122,20162017
Poland 2. Liga,123,20142015
Poland 2. Liga,200,20172018
Poland 2. Liga,222,20152016
Poland 2. Liga,1591,20182019
Poland 2. Liga,2265,20192020
Poland 2. Liga,4765,20202021
Poland 2. Liga,6297,20212022
Poland 2. Liga,7962,20222023
Poland 2. Liga,9619,20232024
Poland 2. Liga,12820,20242025
Belarus Vysheyshaya Liga,124,2016
Belarus Vysheyshaya Liga,125,2015
Belarus Vysheyshaya Liga,126,2014
Belarus Vysheyshaya Liga,151,2017
Belarus Vysheyshaya Liga,248,2013
Belarus Vysheyshaya Liga,249,2012
Belarus Vysheyshaya Liga,1116,2018
Belarus Vysheyshaya Liga,1917,2019
Belarus Vysheyshaya Liga,3811,2020
Belarus Vysheyshaya Liga,5589,2021
Belarus Vysheyshaya Liga,7091,2022
Belarus Vysheyshaya Liga,9045,2023
Belarus Vysheyshaya Liga,11310,2024
China Chinese Super League,127,2016
China Chinese Super League,128,2015
China Chinese Super League,129,2014
China Chinese Super League,152,2017
China Chinese Super League,1072,2018
China Chinese Super League,1871,2019
China Chinese Super League,4306,2013
China Chinese Super League,4313,2012
China Chinese Super League,4330,2011
China Chinese Super League,4337,2010
China Chinese Super League,4382,2020
China Chinese Super League,5728,2021
China Chinese Super League,7356,2022
China Chinese Super League,9186,2023
China Chinese Super League,11217,2024
Japan J2 League,130,2016
Japan J2 League,131,2015
Japan J2 League,132,2014
Japan J2 League,153,2017
Japan J2 League,1073,2018
Japan J2 League,1865,2019
Japan J2 League,3684,2020
Japan J2 League,5495,2021
Japan J2 League,6936,2022
Japan J2 League,8811,2023
Japan J2 League,10995,2024
Japan J2 League,13961,2025
Armenia Armenian Premier League,133,20162017
Armenia Armenian Premier League,134,20142015
Armenia Armenian Premier League,135,20132014
Armenia Armenian Premier League,185,20172018
Armenia Armenian Premier League,216,20152016
Armenia Armenian Premier League,1671,20182019
Armenia Armenian Premier League,2403,20192020
Armenia Armenian Premier League,4613,20202021
Armenia Armenian Premier League,6151,20212022
Armenia Armenian Premier League,7863,20222023
Armenia Armenian Premier League,9703,20232024
Armenia Armenian Premier League,12638,20242025
Switzerland Super League,136,20162017
Switzerland Super League,137,20152016
Switzerland Super League,138,20142015
Switzerland Super League,139,20132014
Switzerland Super League,140,20122013
Switzerland Super League,186,20172018
Switzerland Super League,1610,20182019
Switzerland Super League,2249,20192020
Switzerland Super League,4906,20202021
Switzerland Super League,6044,20212022
Switzerland Super League,7504,20222023
Switzerland Super League,9580,20232024
Switzerland Super League,12326,20242025
Switzerland Challenge League,141,20162017
Switzerland Challenge League,142,20142015
Switzerland Challenge League,187,20172018
Switzerland Challenge League,219,20152016
Switzerland Challenge League,1611,20182019
Switzerland Challenge League,2250,20192020
Switzerland Challenge League,4907,20202021
Switzerland Challenge League,6034,20212022
Switzerland Challenge League,7496,20222023
Switzerland Challenge League,9569,20232024
Switzerland Challenge League,12277,20242025
Azerbaijan Premyer Liqası,143,20162017
Azerbaijan Premyer Liqası,144,20152016
Azerbaijan Premyer Liqası,145,20142015
Azerbaijan Premyer Liqası,146,20132014
Azerbaijan Premyer Liqası,194,20172018
Azerbaijan Premyer Liqası,1713,20182019
Azerbaijan Premyer Liqası,2641,20192020
Azerbaijan Premyer Liqası,4754,20202021
Azerbaijan Premyer Liqası,6221,20212022
Azerbaijan Premyer Liqası,7850,20222023
Azerbaijan Premyer Liqası,9903,20232024
Azerbaijan Premyer Liqası,12740,20242025
Russia Russian Premier League,147,20162017
Russia Russian Premier League,148,20152016
Russia Russian Premier League,149,20142015
Russia Russian Premier League,150,20132014
Russia Russian Premier League,195,20172018
Russia Russian Premier League,1597,20182019
Russia Russian Premier League,2240,20192020
Russia Russian Premier League,4643,20202021
Russia Russian Premier League,5934,20212022
Russia Russian Premier League,7573,20222023
Russia Russian Premier League,9664,20232024
Russia Russian Premier League,12335,20242025
China China League One,154,2017
China China League One,155,2016
China China League One,156,2015
China China League One,160,2013
China China League One,1178,2018
China China League One,1919,2019
China China League One,5729,2021
China China League One,7445,2022
China China League One,8314,2020
China China League One,9220,2023
China China League One,11330,2024
Japan J1 League,162,2017
Japan J1 League,250,2016
Japan J1 League,251,2015
Japan J1 League,252,2014
Japan J1 League,253,2013
Japan J1 League,254,2012
Japan J1 League,1071,2018
Japan J1 League,1864,2019
Japan J1 League,3686,2020
Japan J1 League,5434,2021
Japan J1 League,6935,2022
Japan J1 League,8810,2023
Japan J1 League,10994,2024
Japan J1 League,13960,2025
Portugal LigaPro,174,20172018
Portugal LigaPro,965,20162017
Portugal LigaPro,966,20152016
Portugal LigaPro,1594,20182019
Portugal LigaPro,2320,20192020
Portugal LigaPro,4284,20142015
Portugal LigaPro,4291,20122013
Portugal LigaPro,4309,20102011
Portugal LigaPro,4322,20092010
Portugal LigaPro,4886,20202021
Portugal LigaPro,6116,20212022
Portugal LigaPro,7732,20222023
Portugal LigaPro,9704,20232024
Portugal LigaPro,12585,20242025
Switzerland 1. Liga Promotion,201,20172018
Switzerland 1. Liga Promotion,213,20162017
Switzerland 1. Liga Promotion,214,20152016
Switzerland 1. Liga Promotion,215,20142015
Switzerland 1. Liga Promotion,217,20132014
Switzerland 1. Liga Promotion,1612,20182019
Switzerland 1. Liga Promotion,2330,20192020
Switzerland 1. Liga Promotion,4633,20202021
Switzerland 1. Liga Promotion,6319,20212022
Switzerland 1. Liga Promotion,7711,20222023
Switzerland 1. Liga Promotion,9719,20232024
Switzerland 1. Liga Promotion,12547,20242025
Latvia Virsliga,202,2017
Latvia Virsliga,203,2016
Latvia Virsliga,204,2015
Latvia Virsliga,205,2014
Latvia Virsliga,206,2013
Latvia Virsliga,1171,2018
Latvia Virsliga,1930,2019
Latvia Virsliga,3566,2020
Latvia Virsliga,5622,2021
Latvia Virsliga,7132,2022
Latvia Virsliga,9043,2023
Latvia Virsliga,11280,2024
Greece Super League,207,20172018
Greece Super League,208,20162017
Greece Super League,209,20152016
Greece Super League,933,20142015
Greece Super League,934,20132014
Greece Super League,1752,20182019
Greece Super League,2667,20192020
Greece Super League,4957,20202021
Greece Super League,6282,20212022
Greece Super League,7954,20222023
Greece Super League,9889,20232024
Greece Super League,12734,20242025
Egypt Egyptian Premier League,210,20162017
Egypt Egyptian Premier League,211,20152016
Egypt Egyptian Premier League,212,20142015
Egypt Egyptian Premier League,218,20172018
Egypt Egyptian Premier League,1673,20182019
Egypt Egyptian Premier League,2889,20192020
Egypt Egyptian Premier League,5342,20202021
Egypt Egyptian Premier League,6752,20212022
Egypt Egyptian Premier League,8520,20222023
Egypt Egyptian Premier League,10652,20232024
Egypt Egyptian Premier League,13704,20242025
Scotland Championship,224,20172018
Scotland Championship,225,20162017
Scotland Championship,226,20152016
Scotland Championship,227,20142015
Scotland Championship,228,20132014
Scotland Championship,229,20122013
Scotland Championship,1601,20182019
Scotland Championship,2358,20192020
Scotland Championship,4129,20112012
Scotland Championship,4135,20102011
Scotland Championship,4137,20092010
Scotland Championship,4547,20202021
Scotland Championship,5991,20212022
Scotland Championship,7498,20222023
Scotland Championship,9637,20232024
Scotland Championship,12456,20242025
Scotland League One,230,20172018
Scotland League One,231,20162017
Scotland League One,232,20152016
Scotland League One,233,20142015
Scotland League One,234,20132014
Scotland League One,235,20122013
Scotland League One,1602,20182019
Scotland League One,2370,20192020
Scotland League One,4196,20112012
Scotland League One,4198,20102011
Scotland League One,4201,20092010
Scotland League One,4902,20202021
Scotland League One,5976,20212022
Scotland League One,7505,20222023
Scotland League One,9639,20232024
Scotland League One,12474,20242025
Thailand Thai League T1,236,2017
Thailand Thai League T1,237,2016
Thailand Thai League T1,238,2015
Thailand Thai League T1,239,2014
Thailand Thai League T1,240,2013
Thailand Thai League T1,1206,2018
Thailand Thai League T1,1883,2019
Thailand Thai League T1,3793,2020
Thailand Thai League T1,6340,20212022
Thailand Thai League T1,7636,20222023
Thailand Thai League T1,9702,20232024
Thailand Thai League T1,12475,20242025
Scotland League Two,241,20172018
